fecha,tod,dir,bp,pos
2016-11-14,320,-1,53.340156241147696,0.1722215489031469
2016-11-15,125,1,12.796349549162711,0.8416622830092049
2016-11-15,205,1,11.713114948808512,0.9897990102010241
2016-11-16,125,-1,32.325923377463496,0.10340136054422948
2016-11-16,205,-1,-6.910667210903876,0.018740142870417073
2016-11-17,140,-1,-1.0233491151141911,0.04039999999986321
2016-11-17,220,1,-12.27606637179428,0.9665332443852027
2016-11-18,145,1,-11.591191684013502,0.8535949982631728
2016-11-18,225,-1,0.4312584693537239,0.1500927930714977
2016-11-21,125,1,-2.380292971267561,0.8883333333333325
2016-11-21,225,-1,7.70333044596323,0.12049644535486236
2016-11-22,125,1,0.3215453862308152,0.9211697393511249
2016-11-22,245,-1,5.089089793265789,0.019662921348371366
2016-11-23,125,1,2.039534897544782,0.8164915117220315
2016-11-23,205,1,-0.4,0.9016393442622413
2016-11-24,125,-1,-4.372841933079785,0.0844027640672326
2016-11-24,220,-1,-9.615366458419361,0.1325200998058681
2016-11-25,125,-1,2.454327629890907,0.015407554671938085
2016-11-25,240,-1,-5.916339013020844,0.09436466755160228
2016-11-28,125,-1,32.192717471530145,0.1419141914192073
2016-11-28,210,-1,-8.855752696043817,0.0924406282267288
2016-11-29,130,1,5.772370863199994,0.923076923076654
2016-11-29,210,1,10.907403059577225,0.8357534246574666
2016-11-30,125,1,4.835171744994993,0.9828571428572457
2016-11-30,205,1,-12.926076361747407,0.9814031180400488
2016-12-01,125,1,-8.079877121965495,1.0740847506487496
2016-12-01,205,-1,2.921672467287984,0.0880379453956966
2016-12-02,145,1,-17.013693018058262,0.9344126193439934
2016-12-02,225,-1,11.597346080176996,0.020613956808831383
2016-12-05,125,-1,-87.08687474116422,0.1539149888143317
2016-12-05,205,1,14.856227105417963,0.9885917842810049
2016-12-06,125,-1,11.69851619010882,0.13816230717648087
2016-12-06,210,-1,-18.10876187810799,0.11084337349401413
2016-12-07,140,-1,-2.214146248997339,0.16684723726959028
2016-12-07,255,-1,-2.9474137382008876,0.08898809523809742
2016-12-08,130,-1,-3.71220137854471,0.09585253456203777
2016-12-08,240,-1,-0.3339567813172458,0.04292503449329134
2016-12-09,130,-1,5.232146712483132,0.01575689364110675
2016-12-09,265,1,0.8919468713579185,0.9479593030055328
2016-12-12,125,-1,9.470244842375974,0.0
2016-12-12,205,-1,6.600564932652109,0.14345451442222285
2016-12-13,135,1,6.4830488421811605,0.9546247818499289
2016-12-13,215,1,-5.942513411121997,0.983365323096628
2016-12-14,135,-1,-6.271309166249894,-0.03535714285719773
2016-12-14,235,1,-6.069271576528301,0.9315162306533388
2016-12-15,125,1,1.8289906988270936,1.009194886745945
2016-12-15,205,1,-11.56045653134834,0.9065006132654052
2016-12-16,125,-1,7.930495386927872,0.13892365456805925
2016-12-16,205,-1,1.6297795630996874,0.1647774728552084
2016-12-19,130,1,-7.103270586658761,0.9055712936733801
